A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
1.7,0.83,1393,11.5,10.14,0.5,0.5,2.5,20.0,6.0,8.0,24.0,1.89,0.25,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,1.13,1393,2.7,10.19,0.5,0.5,2.54,20.0,6.0,8.0,24.0,1.88,0.25,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6,1.41,1393,12.1,10.26,0.5,0.51,2.58,20.0,6.0,8.0,24.0,1.87,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.4,1.95,1393,9.7,10.34,0.5,0.51,2.62,20.0,6.0,8.0,24.0,1.86,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,2.17,1393,7.9,10.44,0.5,0.52,2.66,20.0,6.0,8.0,24.0,1.84,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5,2.21,1393,-1.1,10.5,0.5,0.52,2.7,20.0,6.0,8.0,24.0,1.83,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.3,2.76,1393,1.4,10.66,0.5,0.53,2.78,20.0,6.0,8.0,24.0,1.81,0.24,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.9,2.82,1393,7.0,10.75,0.5,0.54,2.81,20.0,6.0,8.0,24.0,1.8,0.23,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.3,2.77,1393,4.7,10.87,0.5,0.54,2.85,20.0,6.0,8.0,24.0,1.79,0.23,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.3,2.84,1393,13.7,10.99,0.5,0.55,2.89,20.0,6.0,8.0,24.0,1.77,0.23,15.6,10993.0,0.0,35.0,296.0,0.0,0.97,11.0,1.9950352522999442,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
