A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
1.7,0.006667145386483165,-0.019727818036822567,-0.1737286308332048,-0.2973372823200888,-0.16027768639179896,-0.20763281578772555,0.03668451458362963,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.13082135176698942,-0.19073670181164956,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,0.021622279982694528,-0.019727818036822567,-0.2874237212724813,-0.2948701689414264,-0.16027768639179896,-0.20763281578772555,0.04038479210444369,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.1276580465209425,-0.19073670181164956,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.6,0.03558040560582514,-0.019727818036822567,-0.16597669284870867,-0.29141621021129904,-0.16027768639179896,-0.20285498492293816,0.04408506962525776,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.12449474127489568,-0.19356855989145932,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.4,0.0624996478790056,-0.019727818036822567,-0.1969844447866932,-0.2874688288054391,-0.16027768639179896,-0.20285498492293816,0.04778534714607183,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.12133143602884879,-0.19356855989145932,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.9,0.07346674658289394,-0.019727818036822567,-0.22024025874018152,-0.28253460204811426,-0.16027768639179896,-0.19807715405815077,0.05148562466688589,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.11500482553675498,-0.19356855989145932,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5,0.07546076452905545,-0.019727818036822567,-0.3365193285076234,-0.27957406599371937,-0.16027768639179896,-0.19807715405815077,0.055185902187699955,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.11184152029070807,-0.19356855989145932,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.3,0.10287851128877629,-0.019727818036822567,-0.3042195869055562,-0.27167930318199957,-0.16027768639179896,-0.19329932319336338,0.06258645722932804,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.10551490979861428,-0.19356855989145932,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.9,0.10586953820801856,-0.019727818036822567,-0.23186816571692573,-0.2672384991004072,-0.16027768639179896,-0.18852149232857598,0.0653616653699386,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.10235160455256737,-0.1964004179712691,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.3,0.10337701577531667,-0.019727818036822567,-0.2615839279908275,-0.2613174269916174,-0.16027768639179896,-0.18852149232857598,0.06906194289075267,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.09918829930652047,-0.1964004179712691,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.3,0.10686654718109932,-0.019727818036822567,-0.14530485822338568,-0.2553963548828275,-0.16027768639179896,-0.1837436614637886,0.07276222041156674,0.7814018043025668,0.07372657876474743,0.36123062687948165,0.0011103400416383133,0.09286168881442666,-0.1964004179712691,0.1301761283702905,0.6001736860006783,-0.3335977206222067,-0.11457237957937609,0.9138400223095012,-0.06384864814425947,0.6354176618579079,-0.030155277932318387,-5.89107950276445e-16,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
